meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,Persona 3 Reload,XONE,"Feb 2, 2024",,/game/xbox-one/persona-3-reload,,['P-Studio'],"['Role-Playing', 'Japanese-Style']"
,Persona 5 Tactica,PC,"Nov 17, 2023",,/game/pc/persona-5-tactica,,['P-Studio'],"['Strategy', 'Turn-Based', 'Tactics']"
,Persona 5 Tactica,XONE,"Nov 17, 2023",,/game/xbox-one/persona-5-tactica,RP,['P-Studio'],"['Strategy', 'Turn-Based', 'Tactics']"
,Persona 5 Tactica,PS4,"Nov 17, 2023",,/game/playstation-4/persona-5-tactica,,['P-Studio'],"['Strategy', 'Turn-Based', 'Tactics']"
,Persona 5 Tactica,Switch,"Nov 17, 2023",,/game/switch/persona-5-tactica,RP,['P-Studio'],"['Strategy', 'Turn-Based', 'Tactics']"
,Like a Dragon Gaiden: The Man Who Erased His Name,PC,"Nov 9, 2023",,/game/pc/like-a-dragon-gaiden-the-man-who-erased-his-name,,['Ryu ga Gotoku Studios'],"['Action Adventure', 'General']"
,Like a Dragon Gaiden: The Man Who Erased His Name,PS4,"Nov 9, 2023",,/game/playstation-4/like-a-dragon-gaiden-the-man-who-erased-his-name,,['Ryu ga Gotoku Studios'],"['Action Adventure', 'General']"
,Like a Dragon Gaiden: The Man Who Erased His Name,XONE,"Nov 9, 2023",,/game/xbox-one/like-a-dragon-gaiden-the-man-who-erased-his-name,,['Ryu ga Gotoku Studios'],"['Action Adventure', 'General']"
,Endless Dungeon,PC,"Oct 17, 2023",,/game/pc/endless-dungeon,T,['Amplitude Studios'],"['Strategy', 'Real-Time', 'Tactics']"
,Endless Dungeon,XONE,"Oct 17, 2023",,/game/xbox-one/endless-dungeon,,['Amplitude Studios'],"['Strategy', 'Real-Time', 'Tactics']"
,Endless Dungeon,PS4,"Oct 17, 2023",,/game/playstation-4/endless-dungeon,T,['Amplitude Studios'],"['Strategy', 'Real-Time', 'Tactics']"
,Sonic Superstars,PC,"Oct 17, 2023",,/game/pc/sonic-superstars,E,"['Sega', ' Arzest']","['Action', 'Platformer', '2D']"
,Sonic Superstars,PS4,"Oct 17, 2023",,/game/playstation-4/sonic-superstars,E,"['Sega', ' Arzest']","['Action', 'Platformer', '2D']"
